Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"N. Young LAL - SG,SF",0,325,476,,,0.000,,,0.000,,,,,,,,,0.0
"S. Blake Det - PG,SG",0,326,611,,,0.000,,,0.000,,,,,,,,,0.0
"M. Muscala Atl - PF,C",49,327,371,1.2,2.3,0.513,0.6,0.7,0.844,0.2,3.1,0.6,1.2,1.8,0.5,0.2,0.4,1.1
"K. Singler OKC - SG,SF",77,328,310,1.9,4.8,0.402,0.5,0.7,0.741,0.6,5.0,0.8,1.6,2.4,0.6,0.5,0.2,0.9
"J. Thompson Tor - PF,C",14,329,433,1.1,2.1,0.500,0.7,1.0,0.714,0.0,2.9,0.6,1.9,2.5,0.6,0.4,0.6,1.6
"R. Butler Min - SG,SF",0,330,548,,,0.000,,,0.000,,,,,,,,,0.0
B. Marjanovic Det - C,57,331,303,2.1,3.5,0.585,1.5,2.1,0.746,0.0,5.6,1.5,2.3,3.8,0.4,0.2,0.6,0.6
"J. Holiday NY - SG,SF",66,332,302,1.9,4.7,0.402,0.7,0.9,0.789,0.8,5.3,0.3,1.9,2.2,1.3,0.6,0.4,1.6
"J. Grant Chi - PG,SG",80,333,231,2.3,5.5,0.409,1.4,1.7,0.794,0.5,6.3,0.3,1.7,2.1,2.6,0.7,0.2,2.0
C. Watson Orl - PG,61,334,299,1.7,4.2,0.395,1.0,1.2,0.824,0.6,4.9,0.3,1.5,1.8,2.5,0.7,0.1,2.8
"C. Johnson Uta - SG,SF",0,335,458,,,0.000,,,0.000,,,,,,,,,0.0
R. Holmes Phi - PF,34,336,382,1.8,3.5,0.504,0.6,0.9,0.710,0.1,4.3,0.8,1.1,1.9,0.5,0.3,0.7,0.9
